drugbank-id,organism
APRD00785,Humans and other mammals
APRD00737,Humans and other mammals
APRD01081,Head lice
APRD00239,Humans and other mammals
APRD01020,Humans and other mammals
APRD00304,Humans and other mammals
APRD01308,Humans and other mammals
APRD00339,Humans and other mammals
APRD01305,Enteric bacteria and other eubacteria
APRD01133,Enteric bacteria and other eubacteria
APRD00099,Humans and other mammals
APRD01190,Enteric bacteria and other eubacteria
APRD00177,Humans and other mammals
APRD00311,Humans and other mammals
APRD00730,Humans and other mammals
APRD00890,Humans and other mammals
APRD00559,Humans and other mammals
DB05347,Human Herpes Virus
DB08298,Humans and other mammals
APRD00991,Humans and other mammals
APRD01178,Humans and other mammals
APRD00130,Humans and other mammals
APRD00689,Humans and other mammals
APRD01011,"Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton"
APRD00549,Humans and other mammals
DB08518,Humans and other mammals
APRD00420,Humans and other mammals
APRD00170,Humans and other mammals
APRD00214,Proteus vulgaris
APRD01246,Humans and other mammals
APRD00969,Humans and other mammals
APRD01009,Humans and other mammals
APRD00726,Humans and other mammals
APRD00886,Gram-negative bacilli
APRD00113,Humans and other mammals
APRD00735,Humans and other mammals
APRD00121,Humans and other mammals
APRD00522,Humans and other mammals
APRD01031,Humans and other mammals
APRD00287,Humans and other mammals
APRD00725,Humans and other mammals
DB01693,"Hepatitis C virus, RSV and other RNA/DNA viruses"
DB08343,Humans and other mammals
DB05564,Humans and other mammals
APRD00529,Humans and other mammals
APRD01606,Humans and other mammals
APRD00210,Humans and other mammals
APRD00369,Enteric bacteria and other eubacteria
DB05893,Humans and other mammals
EXPT00604,Humans and other mammals
APRD00071,Humans and other mammals
APRD00849,Humans and other mammals
APRD00767,Humans and other mammals
APRD00760,Humans and other mammals
APRD00273,Humans and other mammals
APRD01604,Humans and other mammals
APRD01136,Various Fungus Species
APRD00873,Enteric bacteria and other eubacteria
APRD00987,Enteric bacteria and other eubacteria
DB07699,Humans and other mammals
APRD00262,Humans and other mammals
