atc-code,drugbank-id
C01DA14,APRD00528
C03EA02,APRD00031
B02BA01,DB09528
C09BB05,APRD00374
L04AA06,EXPT02208
R03DX01,APRD00795
J02AB02,APRD00401
N02BG09,APRD00744
C09CA04,APRD00413
L01XX17,APRD00687
,APRD00959
G01AE10,APRD00167
L01BB02,APRD01096
,APRD00703
C01BA02,APRD00509
G04BD07,APRD00146
N04BD01,APRD00525
,APRD00848
C10AB05,DB09545
,APRD01024
L04AX02,APRD01251
L01AA03,APRD00118
N06DA52,APRD00221
J01MA16,APRD00996
J04AM05,EXPT02777
A06AX03,APRD01298
C05AA11,APRD00978
J05AF06,APRD00216
,DB01287
G02CC01,APRD00372
,APRD00694
S01AA14,DB11612
C09BB06,APRD00421
,APRD00647
C01BB03,APRD01266
S01EB03,APRD00942
P02BA01,EXPT02728
J01MA06,APRD00469
J01CR02,APRD00248
J01CA09,APRD00814
G04BD04,APRD00427
N05AB07,APRD00462
C01CA02,APRD00182
N05CH01,DB08189
J01DD16,APRD00850
A10BB07,APRD00436
N03AE01,APRD00054
R06AD52,APRD00601
A11CC02,APRD00143
R06AD07,APRD00386
J05AR15,APRD00804
L01BB05,APRD00594
C08EX02,APRD00107
R06AA52,DB06975
C10BX08,APRD00055
M05BA01,APRD00964
C01AA07,APRD00909
A06AX06,APRD00096
N03AG04,APRD00282
A07DA01,APRD00366
A07AA54,APRD00412
A08AB01,APRD00255
S01GX06,APRD00946
N07AX01,APRD00382
C05AD03,APRD00539
P01BA03,APRD00604
B01AC11,APRD01027
C02LA03,APRD00906
,APRD00038
D01AE23,APRD00833
C01AC01,APRD00135
M02AX03,EXPT01231
,APRD00117
C10AA04,APRD00346
P02BA02,APRD01150
L04AA13,APRD00205
C10BX09,APRD00546
J02AX01,APRD00299
N05AG02,APRD00218
L01BC06,APRD00203
C01CA22,APRD00802
P01AX05,APRD00317
N06AB06,DB08567
A08AA10,APRD00456
S01GX02,APRD01069
N05CE02,APRD00734
H02CA01,APRD01276
B01AB51,APRD00056
D01AC52,APRD01115
,APRD00885
J01RA03,APRD00285
A03AD01,DB07725
R06AB04,DB09440
C08CA55,APRD00590
C02BA01,APRD00044
P01AX06,APRD00805
C01BD01,APRD00288
G01AE10,APRD00914
A10BB09,APRD00460
N03AX07,APRD00089
N07AA30,APRD00771
,APRD00535
V04CA01,APRD00267
,APRD00799
G04CA52,APRD00385
G01AF20,APRD00943
L02BB03,DB06284
M02AA03,APRD01212
D07AC18,APRD01197
P01BB01,APRD00188
A10BD05,APRD00653
M05BA05,APRD01259
,APRD00709
M03AC07,DB01334
C07AG02,APRD00091
J01MA12,DB06085
M04AB02,APRD00620
J01DB08,APRD00860
J01DB05,APRD00196
J02AX05,APRD01114
N06AA12,APRD00398
V03AF05,APRD00021
G01AE10,DB07948
J04BA03,APRD00704
R06AA07,APRD00719
J01CR50,EXPT01068
G04BD02,APRD00972
N06AX06,APRD00402
J01DC10,APRD00461
N06AA01,DB07682
G01AA04,APRD00843
G01AF19,APRD00305
N05CB01,APRD00154
J01MA15,APRD00053
N06AX12,APRD00621
P01AX07,APRD00268
,APRD00830
N01AB01,DB02330
,APRD00926
N01BA04,APRD00404
G04CA03,APRD00667
J01CA11,APRD00789
G04BA03,APRD00840
S01AE01,APRD00502
B01AC23,APRD00155
J02AC02,APRD00040
L01XB01,APRD00695
L01XX27,APRD00171
S01EX01,APRD01007
N06AG02,APRD00603
S01AA24,APRD00026
M03BC01,APRD00097
N05CB01,APRD00184
N06AB10,APRD00683
R06AE53,APRD00061
L01DB06,APRD00126
M03BB52,APRD00865
D06BB04,DB08417
C02LA52,APRD00112
L01AA06,APRD00007
C01BC03,APRD00261
V03AB15,APRD00025
A03FA03,APRD00418
G03BA01,APRD00981
N04BC02,APRD00663
V08AD04,DB13498
D01AE14,APRD00871
N01AB07,APRD00907
D10AF01,APRD00566
A08AA04,APRD00648
,APRD00158
C07BB04,APRD00772
S01EC54,APRD00475
C01BC04,APRD00129
L01XX11,APRD00625
C09BA01,APRD00164
N05CF01,APRD00356
M03AA02,APRD00176
N04BC01,APRD00622
J04AB05,APRD01217
N03AX14,APRD01068
C07BA12,APRD00301
L01DB07,APRD00371
V03AB25,APRD00974
L01AD02,APRD00292
,APRD00271
J01MA09,APRD01231
N02AX03,APRD00912
S01ED03,APRD00165
A02BD07,APRD00181
J01DD54,APRD00395
V03AB34,APRD00985
S01ED54,APRD00668
N05CD04,APRD00955
G04CA51,DB07774
L02BG03,APRD00016
P01BX01,APRD00419
M03CA01,APRD00901
D06AX11,APRD01218
N01AX03,APRD00493
R03AK12,APRD00442
R03DA05,APRD00329
