drugbank-id,name
DB01276,investigational
DB01277,investigational
DB01278,investigational
DB01279,investigational
DB01280,investigational
DB01281,approved
DB01282,investigational
DB01283,investigational
DB01284,approved
DB09547,vet_approved
DB01288,investigational
DB01289,investigational
DB01291,approved
DB01402,vet_approved
DB01295,approved
EXPT01563,investigational
DB01297,approved
DB01298,approved
DB01299,investigational
DB01301,approved
DB01303,approved
DB01306,approved
DB01307,approved
DB01309,approved
DB01319,approved
DB01320,investigational
DB01321,investigational
DB01322,nutraceutical
DB01323,nutraceutical
DB01324,approved
DB01325,approved
DB01326,investigational
DB01327,approved
DB01328,investigational
DB01329,investigational
DB01330,approved
EXPT00897,approved
DB01332,investigational
DB01333,approved
DB01336,approved
DB01337,approved
DB01338,approved
DB01339,approved
DB01340,approved
DB01341,experimental
DB01342,experimental
DB06658,investigational
DB01345,investigational
DB01346,approved
DB01347,experimental
DB01348,approved
DB01349,approved
DB01351,illicit
DB01352,illicit
DB01353,illicit
DB01354,approved
EXPT03301,approved
DB01356,approved
DB01357,approved
DB01359,investigational
DB01362,approved
DB01363,withdrawn
DB01364,approved
DB01365,approved
DB01366,investigational
EXPT02758,approved
DB01369,approved
DB11314,investigational
DB01373,nutraceutical
DB01375,experimental
DB01377,approved
DB01378,nutraceutical
DB01380,investigational
DB01381,nutraceutical
DB01382,investigational
DB01384,approved
DB01388,withdrawn
DB01390,approved
DB01392,vet_approved
DB08380,investigational
DB01394,approved
DB01395,approved
DB01396,investigational
DB01397,approved
DB01399,approved
DB01400,vet_approved
DB01401,approved
DB01403,investigational
DB01404,nutraceutical
DB01405,withdrawn
DB01406,approved
DB01407,vet_approved
DB01408,investigational
DB01409,approved
DB01410,investigational
DB01411,investigational
DB01412,investigational
DB01413,investigational
DB01414,approved
DB01415,investigational
DB01416,vet_approved
DB01418,investigational
DB01419,approved
DBSALT001032,withdrawn
DB01421,investigational
DB01422,approved
DB01423,approved
DB01424,withdrawn
DB01425,approved
DB01426,investigational
DB01427,approved
DB01428,approved
DB01429,approved
DB01430,approved
DB01431,approved
DB01432,investigational
DB01433,illicit
DB01434,illicit
DB01435,investigational
DB01436,nutraceutical
DB01437,illicit
DB01438,approved
DB01439,illicit
DB01440,investigational
DB01441,illicit
DB01442,illicit
DB01443,illicit
DB01444,illicit
DB01445,illicit
DB01446,illicit
DB01447,illicit
DB01448,illicit
DB01450,illicit
